external_claim_id,circuit_size,repetition,cirq_time_seconds,qiskit_time_seconds,outcome
ext_2409_08844v2_claim1,4,0,0.00013162498362362385,6.562500493600965e-05,0
ext_2409_08844v2_claim1,4,1,0.0001294999965466559,7.025001104921103e-05,0
ext_2409_08844v2_claim1,4,2,0.0001330830273218453,6.666698027402163e-05,0
ext_2409_08844v2_claim1,4,3,0.00013154197949916124,6.808299804106355e-05,0
ext_2409_08844v2_claim1,4,4,0.00013504200614988804,7.279199780896306e-05,0
ext_2409_08844v2_claim1,4,5,0.00013833300909027457,7.412495324388146e-05,0
ext_2409_08844v2_claim1,4,6,0.00013174995547160506,6.637501064687967e-05,0
ext_2409_08844v2_claim1,4,7,0.00013645802391692996,6.96660135872662e-05,0
ext_2409_08844v2_claim1,4,8,0.00013083399971947074,6.920797750353813e-05,0
ext_2409_08844v2_claim1,4,9,0.00012929196236655116,6.991601549088955e-05,0
ext_2409_08844v2_claim1,4,10,0.00012412498472258449,6.708304863423109e-05,0
ext_2409_08844v2_claim1,4,11,0.0001305420300923288,6.77499920129776e-05,0
ext_2409_08844v2_claim1,4,12,0.00012658396735787392,6.583298090845346e-05,0
ext_2409_08844v2_claim1,4,13,0.00013545900583267212,6.824999582022429e-05,0
ext_2409_08844v2_claim1,4,14,0.00013383303303271532,6.849999772384763e-05,0
ext_2409_08844v2_claim1,4,15,0.00013579201186075807,7.1709044277668e-05,0
ext_2409_08844v2_claim1,4,16,0.00013154197949916124,8.391699520871043e-05,0
ext_2409_08844v2_claim1,4,17,0.00013350002700462937,0.0001076660118997097,0
ext_2409_08844v2_claim1,4,18,0.00013291597133502364,6.733299233019352e-05,0
ext_2409_08844v2_claim1,4,19,0.0001354170381091535,6.591703277081251e-05,0
ext_2409_08844v2_claim1,6,0,0.0001842909841798246,8.862500544637442e-05,0
ext_2409_08844v2_claim1,6,1,0.00022508302936330438,0.00010754098184406757,0
ext_2409_08844v2_claim1,6,2,0.00020158302504569292,9.849999332800508e-05,0
ext_2409_08844v2_claim1,6,3,0.00018733303295448422,9.000004502013326e-05,0
ext_2409_08844v2_claim1,6,4,0.00018716702470555902,9.029201464727521e-05,0
ext_2409_08844v2_claim1,6,5,0.00020504201529547572,9.64159844443202e-05,0
ext_2409_08844v2_claim1,6,6,0.0001873329747468233,9.699998190626502e-05,0
ext_2409_08844v2_claim1,6,7,0.00018799997633323073,9.595899609848857e-05,0
ext_2409_08844v2_claim1,6,8,0.00018633296713232994,9.099999442696571e-05,0
ext_2409_08844v2_claim1,6,9,0.00018979201558977365,9.304203558713198e-05,0
ext_2409_08844v2_claim1,6,10,0.00018483400344848633,9.704200783744454e-05,0
ext_2409_08844v2_claim1,6,11,0.00019562500528991222,9.495799895375967e-05,0
ext_2409_08844v2_claim1,6,12,0.0002484999713487923,0.00013704103184863925,0
ext_2409_08844v2_claim1,6,13,0.00018633302533999085,9.104103082790971e-05,0
ext_2409_08844v2_claim1,6,14,0.00018850003834813833,9.458401473239064e-05,0
ext_2409_08844v2_claim1,6,15,0.00020770798437297344,9.270798182114959e-05,0
ext_2409_08844v2_claim1,6,16,0.00018387497402727604,9.08750225789845e-05,0
ext_2409_08844v2_claim1,6,17,0.00018704094691202044,9.195797611027956e-05,0
ext_2409_08844v2_claim1,6,18,0.00018566701328381896,9.099999442696571e-05,0
ext_2409_08844v2_claim1,6,19,0.00018850003834813833,9.595800656825304e-05,0
ext_2409_08844v2_claim1,8,0,0.00029995798831805587,0.00014600000577047467,0
ext_2409_08844v2_claim1,8,1,0.00024575000861659646,0.00012083398178219795,0
ext_2409_08844v2_claim1,8,2,0.0002389579894952476,0.00010941596701741219,0
ext_2409_08844v2_claim1,8,3,0.00023812497965991497,0.00011858303332701325,0
ext_2409_08844v2_claim1,8,4,0.00023570802295580506,0.00011433300096541643,0
ext_2409_08844v2_claim1,8,5,0.00023604201851412654,0.00018974998965859413,0
ext_2409_08844v2_claim1,8,6,0.00023329199757426977,0.00011212500976398587,0
ext_2409_08844v2_claim1,8,7,0.00023737503215670586,0.00011562497820705175,0
ext_2409_08844v2_claim1,8,8,0.00024137500440701842,0.00012204202357679605,0
ext_2409_08844v2_claim1,8,9,0.00025183300022035837,0.00012074998812749982,0
ext_2409_08844v2_claim1,8,10,0.00023437500931322575,0.00011424999684095383,0
ext_2409_08844v2_claim1,8,11,0.00024799996754154563,0.0001616249792277813,0
ext_2409_08844v2_claim1,8,12,0.00024050002684816718,0.00010991701856255531,0
ext_2409_08844v2_claim1,8,13,0.00024687498807907104,0.00011850002920255065,0
ext_2409_08844v2_claim1,8,14,0.00023883400717750192,0.0001177079975605011,0
ext_2409_08844v2_claim1,8,15,0.0002330410061404109,0.00011054100468754768,0
ext_2409_08844v2_claim1,8,16,0.0002388330176472664,0.00012141600018367171,0
ext_2409_08844v2_claim1,8,17,0.000238874985370785,0.00011312501737847924,0
ext_2409_08844v2_claim1,8,18,0.00023429200518876314,0.00010920799104496837,0
